author,statement,source,date,target
Amy Sherman,Brian Kemp and Secretary of State Brad Raffensperger “perhaps in collusion with the Radical Left Democrats” are attempting to “unseat” U.S. Rep. Marjorie Taylor Greene.,Donald Trump,"April 22, 2022",false
Louis Jacobson,The Strategic Petroleum Reserve has “been mostly empty” for decades.,Donald Trump,"April 1, 2022",false
Jon Greenberg,"“You go to a store, they don’t have bread.”",Donald Trump,"March 30, 2022",false
Tom Kertscher,"""Hillary Clinton spied on President Trump.""",Donald Trump,"February 28, 2022",false
Jon Greenberg,Proposed changes to the Electoral Count act show Pence had the power and “could have overturned the election!”,Donald Trump,"February 1, 2022",false
Jill Terreri,"“In New York state, if you’re white, you have to go to the back of the line to get medical help.”",Donald Trump,"• January 27,",pants-fire
Amy Sherman,Democrats “are trying to ban voter ID.”,Donald Trump,"January 11, 2022",barely-true
PolitiFact Staff,"Gas prices were ""$1.86 when I left"" the White House.",Donald Trump,"December 8, 2021",false
Amy Sherman,Says Biden “didn’t win in Arizona. He lost in Arizona based on the forensic audit.”,Donald Trump,"September 28, 2021",pants-fire
Madeline Heim,“A Milwaukee election employee even acknowledged dropping off just the margin of ballots needed for a Biden win at 3 a.m.”,Donald Trump,"August 23, 2021",pants-fire
Tom Kertscher,"Says that in the 2020 presidential election in Maricopa County, Ariz., ""74,243 mail-in ballots were counted with 'no clear record of them being sent.'""",Donald Trump,"July 19, 2021",false
Gabrielle Settles,“There were no guns whatsoever” at the Capitol riot on Jan. 6.,Donald Trump,"July 13, 2021",false
Louis Jacobson,"""The person that shot Ashli Babbitt — boom — right through the head — just boom — there was no reason for that.""",Donald Trump,"July 8, 2021",false
D.L. Davis,“In 2020 we won (Wisconsin).”,Donald Trump,"July 6, 2021",pants-fire
Laura Schulte,Says Republican leaders “are working hard to cover up election corruption in Wisconsin.”,Donald Trump,"July 5, 2021",pants-fire
Amy Sherman,“Facts have now come out to show conclusively” that the 2020 presidential election wasn’t legitimate.,Donald Trump,"June 29, 2021",pants-fire
Amy Sherman,Georgia didn’t update its voter rolls prior to the 2020 presidential election; “this means we (you!) won the presidential election in Georgia.”,Donald Trump,"June 23, 2021",pants-fire
Amy Sherman,“Republican state senators” who started an audit of 2020 election results in Maricopa County are “exposing this fraud.”,Donald Trump,"June 9, 2021",false
Tom Kertscher,"""The entire Database of Maricopa County in Arizona has been DELETED!""",Donald Trump,"May 19, 2021",false
Tom Kertscher,"“Human trafficking and drugs” at the Mexico border have “doubled, tripled and quadrupled” since Joe Biden became president.",Donald Trump,"April 27, 2021",false
Jon Greenberg,"Says Deborah Birx “traveled a great distance to see her family for Thanksgiving, only to have them call the police and turn her in. She then ... resigned.”",Donald Trump,"March 30, 2021",half-true
Amy Sherman,"""We proudly handed the Biden administration the most secure border in history. All they had to do was keep this smooth-running system on autopilot.”",Donald Trump,"March 24, 2021",barely-true
Tom Kertscher,"Says he requested “10,000 National Guardsmen” for his Jan. 6 rally, but Nancy Pelosi “rejected it.”",Donald Trump,"March 2, 2021",false
Amy Sherman,HR 1 “automatically registers every welfare recipient to vote.”,Donald Trump,"March 2, 2021",barely-true
Miriam Valverde,"Says Joe Biden “has effectively ordered a shutdown of ICE, halting virtually all deportations, everyone, murderers, everybody, no more.”",Donald Trump,"March 1, 2021",false
Julia Shanahan,Says Joe Biden has plans to ban animal agriculture and gas-powered cars.,Donald Trump,"January 18, 2021",false
Daniel Funke,"""We won. We won in a landslide. This was a landslide.”",Donald Trump,"January 6, 2021",pants-fire
Bill McCarthy,"""They just happened to find 50,000 ballots (in the Georgia U.S. Senate runoff elections) late last night.""",Donald Trump,"January 6, 2021",pants-fire
Jon Greenberg,“The Vice President has the power to reject fraudulently chosen electors.”,Donald Trump,"January 5, 2021",false
Noah Y.,"“You had (4,925) out-of-state voters… in Georgia.”",Donald Trump,"• January 4,",false
Bill McCarthy,"After a “major water main break,” Georgia election workers counted “18,000 ballots, all for Biden” that they pulled from suitcases and with no election observers present.",Donald Trump,"January 4, 2021",pants-fire
Miriam Valverde,“We won Georgia easily. We won it by hundreds of thousands of votes.”,Donald Trump,"January 4, 2021",pants-fire
Paul Egan,"“68% error rate in Michigan Voting Machines. Should be, by law, a tiny percentage of one percent.”",Donald Trump,"December 15, 2020",false
Victoria Knight,The percentage of Americans with natural immunity from getting COVID-19 is “a very powerful vaccine in itself.”,Donald Trump,"December 15, 2020",false
Amy Sherman,“No candidate has ever won both Florida and Ohio and lost.”,Donald Trump,"December 10, 2020",pants-fire
Eric Litke,"“In Wisconsin, there are approximately 70,000 absentee ballots that do not have matching ballot applications as required by law.”",Donald Trump,"December 10, 2020",pants-fire
D.L. Davis,"“Actually, I won Wisconsin.”",Donald Trump,"December 9, 2020",pants-fire
Amy Sherman,“No state in the country verifies United States citizenship as a condition for voting in federal elections.”,Donald Trump,"December 7, 2020",barely-true
Eric Litke,Residents the Wisconsin Election Commission suspected of moving are “illegal voters.”,Donald Trump,"December 4, 2020",false
Jon Greenberg,"“In certain swing states, there were more votes than people who voted, and in big numbers.”",Donald Trump,"November 23, 2020",pants-fire
Eric Litke,"""A day AFTER the election, Biden receives a dump of 143,379 votes at 3:42AM (in Wisconsin), when they learned he was losing badly. This is unbelievable!""",Donald Trump,"November 20, 2020",pants-fire
Jessica Calefati,A 1993 example of voter fraud in Philadelphia is “exactly what happened to us” in the 2020 election.,Donald Trump,"November 19, 2020",pants-fire
Bill McCarthy,"""Big victory moments ago in the State of Nevada. The all Democrat County Commissioner race, on same ballot as President, just thrown out because of large scale voter discrepancy.""",Donald Trump,"November 18, 2020",false
