author,statement,source,date,target
Samantha Putterman,Gun manufacturers are “the only industry in the country” that have immunity from lawsuits.,Joe Biden,"June 8, 2022",false
Jon Greenberg,"""When we passed the assault weapons ban, mass shootings went down. When the law expired, mass shootings tripled.""",Joe Biden,"May 25, 2022",mostly-true
Louis Jacobson,“When President Biden took office … there was no vaccine available.”,Joe Biden,"May 16, 2022",false
Louis Jacobson,"“My Treasury Department is planning to pay down the national debt this quarter, which never happened under my predecessor.”",Joe Biden,"May 13, 2022",half-true
Louis Jacobson,"""For four years, I was a full professor at the University of Pennsylvania.""",Joe Biden,"April 22, 2022",half-true
Yacob Reyes,"“You couldn’t buy a cannon when, in fact, the Second Amendment passed.""",Joe Biden,"April 12, 2022",false
Louis Jacobson,“Make no mistake: The current spike in gas prices is largely the fault of Vladimir Putin.”,Joe Biden,"March 16, 2022",mostly-true
Yacob Reyes,"The oil industry has ""9,000 permits to drill now. They could be drilling right now, yesterday, last week, last year.""",Joe Biden,"March 9, 2022",mostly-true
Samantha Putterman,“I’ve been in and out of Iraq and Afghanistan over 40 times.”,Joe Biden,"March 3, 2022",false
Louis Jacobson,"“Our economy created over 6.5 million new jobs just last year, more jobs in one year than ever before in the history of the United States of America.”",Joe Biden,"March 1, 2022",half-true
Victoria Knight,“Millions of hardworking Americans will no longer have to worry about unexpected medical bills.”,Joe Biden,"March 1, 2022",mostly-true
Louis Jacobson,"Thanks to the American Rescue Plan’s changes to the Affordable Care Act, “four out of five consumers (are) finding quality coverage for under $10 a month.”",Joe Biden,"February 2, 2022",barely-true
Jon Greenberg,“This country’s working people actually got a raise.”,Joe Biden,"January 20, 2022",barely-true
Jeff Cercone,"As a youth, “I got arrested” protesting for civil rights.",Joe Biden,"January 13, 2022",false
Amy Sherman,"“In the 2020 election, President Trump voted from behind the desk in the White House in Florida.”",Joe Biden,"January 13, 2022",half-true
Amy Sherman,People vaccinated for COVID-19 “do not spread the disease to anyone else.”,Joe Biden,"December 22, 2021",barely-true
Louis Jacobson,“I’ve been against that war in Afghanistan from the very beginning.”,Joe Biden,"December 15, 2021",false
Louis Jacobson,"“Even after accounting for rising prices, the typical American family has more money in their pockets than they did last year.”",Joe Biden,"December 7, 2021",mostly-true
Jon Greenberg,“I used to drive a tractor trailer … I only did it for part of a summer.”,Joe Biden,"December 3, 2021",false
Louis Jacobson,"""The number of small businesses is up 30% compared to before the pandemic.""",Joe Biden,"December 2, 2021",false
Warren Fiske,“No governor in Virginia has ever won when...he or she is the same party as the sitting president.”,Joe Biden,"November 12, 2021",false
Louis Jacobson,"“Wages have gone up higher, faster than inflation.”",Joe Biden,"November 2, 2021",barely-true
Louis Jacobson,“We’ve created more jobs in the first eight months of my administration than any president in American history — total number of jobs created.”,Joe Biden,"October 22, 2021",half-true
Louis Jacobson,"People who are vaccinated for the coronavirus “cannot spread it to you.""",Joe Biden,"October 14, 2021",half-true
Louis Jacobson,“Raising the debt limit is paying our old debts. It has nothing to do with new spending.”,Joe Biden,"October 13, 2021",mostly-true
Louis Jacobson,"""Thirty years ago, the United States ranked sixth among advanced economies in the share of women in the workforce. You know where we are today? Twenty-three.”",Joe Biden,"October 8, 2021",mostly-true
Amy Sherman,“Raising the debt limit is usually a bipartisan undertaking.”,Joe Biden,"October 6, 2021",half-true
Amy Sherman,"Women are ""disproportionately impacted by voter ID laws — especially married women who change their names, or those whose IDs do not accurately reflect their gender.""",Joe Biden,"September 7, 2021",mostly-true
Miriam Valverde,There has been “no question of our credibility from our allies around the world” regarding how the U.S. is withdrawing from Afghanistan.,Joe Biden,"August 26, 2021",half-true
Amy Sherman,Al-Qaida is “gone” from Afghanistan.,Joe Biden,"August 23, 2021",false
Amy Sherman,On whether withdrawal from Afghanistan would be chaotic,Joe Biden,"August 20, 2021",full-flop
Jon Greenberg,"“We had already issued several thousand Special Immigrant Visas .. to the (Afghan) translators, when I came into office.”",Joe Biden,"August 19, 2021",half-true
Warren Fiske,"When Terry McAuliffe was governor, “Unemployment went down in every single county, including rural Virginia by nearly 50%.",Joe Biden,"July 30, 2021",mostly-true
Louis Jacobson,"""The cost of an automobile, it's kind of back to what it was before the pandemic.""",Joe Biden,"July 23, 2021",false
Louis Jacobson,"“Ten thousand people have recently died. 9,950 of them, thereabouts, are people who hadn’t been vaccinated.""",Joe Biden,"July 22, 2021",mostly-true
